Part,NCode,Branch,DateTime,Type,OP,Description
0-001-49,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Solid copper.<br/>Adhesive heat-shrink.
0-001-49,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
0-001-50,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Solid copper.<br/>Adhesive heat-shrink.
0-001-50,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
0-001-52,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Solid brass with copper insulation support sleeve 4.80 mm insulated push-on conductor size 0.5 - 1.5mm²&#44 9 - 21/0.30mm&#44 red pre-insulated terminals.
0-001-52,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
0-002-41,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Moulded black nylon.<br/>Base 28 x 28mm.
0-002-41,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
0-002-44,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Moulded black nylon.<br/>23 x 15mm fixing base for cable ties up to 9mm wide.
0-002-44,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
0-002-51,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Moulded white nylon.<br/>Base 28 x 28mm.
0-002-51,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
0-002-55,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Internal serrations allowing for a positive hold onto cable and pipe bundles.<br/>The design of the head guarantees a high tensile strength while allowing<br/>a very low insertion force.<br/>Flame-retardant&#44 Heat-resistant&#44 UV resistant are available.
0-002-55,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
0-002-55,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,UL approved polyamide 6.6&#44 94V-2.
0-008-42,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tinned solid copper cable socket.<br/>7.0mm cable dia.<br/>25mm² cable CSA.<br/>6mm stud size.
0-008-42,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
0-008-43,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tinned solid copper cable socket.<br/>7.0mm cable dia.<br/>25mm² cable CSA.<br/>6mm stud size.
0-008-43,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
0-008-45,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tinned solid copper cable socket.<br/>7.0mm cable dia.<br/>25mm² cable CSA.<br/>6mm stud size.
