KeyCode,PG,Desc,Asno,Code6
0-001-49,ELELC,Red Heat Shrink Connector (Butt),,
0-001-50,ELELC,Blue Heat Shrink Connector (Butt),,
0-001-52,ELELC,Terminal Red 4.80mm Push-on Pk50,,
0-002-41,ELECT,Sticky-Back Cable Tie Fixing Base Black,,
0-002-44,ELECT,9.0mm Black Fixing Eyelet Nylon Cable Tie,,
0-002-51,ELMIS,Sticky-Back Cable Tie Base White,,
0-002-55,ELECT,3.6 x 295mm Cable Ties Black,,
0-008-42,ELELC,Cable Socket 7.00mm Cable 6.00mm Hole,,
0-008-43,ELELC,Cable Socket 7.00mm Cable 8.00mm Hole,,
0-008-45,ELELC,Cable Socket 7.00mm Cable 12.00mm Hole,,
0-008-53,ELELC,Cable Socket 8.20mm Cable 8.00mm Hole,,
0-008-54,ELELC,Cable Socket 8.20mm Cable 10.00mm Hole,,
0-008-62,ELELC,Cable Socket 9.50mm Cable 6.00mm Hole,,
0-008-64,ELELC,Cable Socket 9.50mm Cable 10.00mm Hole,,
0-008-65,ELELC,Cable Socket 9.50mm Cable 12.00mm Hole,,
0-008-73,ELELC,Cable Socket 11.50mm Cable 8.00mm Hole,,
0-008-74,ELELC,Cable Socket 11.50mm Cable 10.00mm Hole,,
0-013-21,ELELC,Terminal for Mate-N-Lock Male,,
0108T470060,FAMIS,5 x 60 Pozi Csk Woodscrew Zinc Yellow,,
01604-02621,FAPCS,4.8 x 20 Std Csk Head Aluminium Pop Rivet,HHA01604-02621X500LSB9,
01641-02621,FAPFL,4.8 x 20 Lge Flange Head Aluminium Pop Rivet,HHA01641-02621X500LSB7,
01641-02631,FAPFL,4.8 x 27 Lge Flange Head Aluminium Pop Rivet,HHA01641-02631X500LSB12,
01661-02414,FAPLP,3.2 x 14 Low Prof Dome Hd Alu Pop Rivet,HHA01661-02414X500LSB9,
01661-02613,FAPLP,4.8 x 14 Low Prof Dome Hd Alu Pop Rivet,HHA01661-02613X500LSB7,
01661-02621,FAPLP,4.8 x 20 Low Prof Dome Hd Alu Pop Rivet,HHA01661-02621X500LSB7,
01661-02631,FAPLP,4.8 x 27 Low Prof Dome Hd Alu Pop Rivet,HHA01661-02631X500LSB9,
01AS10010816,FASKT,M8 x 16mm Socket Flange Dome Screw Grade 10.9,,
01AS10010820,FASKT,M8 x 20 Socket Flange Dome Screw Gr10.9,,
01AS79911660,FASKT,M16 X 60 SOCKET CSK SCREW GR10.9,,
01ZP10010820,FASKT,M8 x 20 Socket Flange Dome Screw Gr10.9 BZP,,
0-210-94,ELMIS,24V 6in Metal 2 Speed Cooling Fan,,
02761-02821,FAMON,6.4 x 26 CSK Monobolt (250),HH02761-02821X250LSB38,
0-326-53,ELELC,4 Way In-line Connector DIN 10NW,,
0-326-54,ELELC,4 Way In-line Connector 90° DIN 10NW,,
0-329-03,ELETU,3.00mm x 1M Heatshrink Adh Lined Black Polyole,,
0-329-04,ELETU,4.50mm x 1M Heatshrink Adh Lined Black Polyole,,
0-329-06,ELETU,6.00mm x 1M Heatshrink Adh Lined Black Polyole,,
0-329-09,ELETU,9.00mm x 1M Heatshrink Adh Lined Black Polyole,,
0-329-12,ELETU,12.7mm x 1M Heatshrink Adh Lined Black Polyole,,
0-329-19,ELETU,19.1mm x 1M Heatshrink Adh Lined Black Polyole,,
0-330-07,ELETU,7.5NW x 50M Convoluted HD Unsplit Black Nylon Tubing,,
0-330-10,ELETU,10NW x 50M Convoluted HD Unsplit Black Nylon Tubing,,
0-331-07,ELETU,7.5NW x 50M Convoluted Split Black Nylon Tubing,,
0-331-13,ELETU,13NW x 50M Convoluted Split Black Nylon Tubing,,
0-331-17,ELETU,17NW x 50M Convoluted Split Black Nylon Tubing,,
0-331-22,ELETU,22NW x 50M Convoluted Split Black Nylon Tubing,,
0-333-06,ELETU,6.4mm x 5M Heatshrink Black Polyolefin Tubing,,
0-333-09,ELETU,9.5mm x 5M Heatshrink Black Polyolefin Tubing,,
0-333-19,ELETU,19mm x 1M Heatshrink Black Polyolefin Tubing,,
0-333-25,ELETU,25.4mm x 1M Heatshrink Black Polyolefin Tubing,,
0-378-13,ELELF,30A Orange Midi Fuses,,
0-447-11,ELELC,15.87mm Grommets Wiring Hole ,,
0-452-18,ELMIS,22.22mm Dia. Hole Blanking Grommets Black,,
0-562-12,ELMIS,12V Low Pressure Warning Buzzer,,
0-603-00,ELELS,On/Off Toggle Switch Metal,,
0-607-34,ELELL,12/24V Green LED Warning Light fits 20mm,,
0-607-35,ELELL,12/24V Red LED Warning Light fits 20mm,,
0-668-03,ELMIS,12/24V White Down Roof Light with Switch,,
0-705-22,LILBU,Bulbholder H4 Ceramic Body,,
0-728-12,ELELR,Relay Mini Change Over 20/30A 12V,,
09408-22621,FAPFL,M6 x 1.0mm Large Flange Splined Eurosert,,
09408-22822,FAMON,M8 x 1.25 Lge Flange Splined Monobolt (200),,
101014,FAMIS,No14 x 3/4 Hex Head Acme Screws,FC101014X100LGE4,
101016,FAMIS,No10 x 3/4 Hex Head Acme Screws,,
101639,WLSLD,200ml Fire Gas Refill,,
103434,FCSPL,30Ltr XR70 Industrial Cellulose Granules,,
105187,ELETU,12.7mm X 6M Black Heatshrink Tubing,,
106979,PPVIZ,Large Hi-Vis Executive Vest (Navy Bottom),,
107019,PPVIZ,Medium Hi-Vis Executive Vest (Navy Bottom),,
107020,PPVIZ,XLarge Hi-Vis Executive Vest (Navy Bottom),,
10734,ATAIT,Windscreen Cutter Oscillating,,
108-100,FAASS,4.0 x 20mm DIN 1481 Cotter Pins,,
110140,LILBU,Bulb 24v 10w 50mm Dichroic,,
110150,LILBU,P434F 24V 10W G4 2-PIN CAPLESS BULB,AA110150X10UIB2,
110218,LILBU,Bulb 24v 5w Berner (149),AAA110218X10L-AC6,
110230,LILBU,Bulb 12v 5w Berner (207),AAA110230X10L-AC6,
110238,LILBU,Bulb 12v 4w Berner (233),AA110238X10L-AC6,
110242,LILBU,Bulb 12v 5w Festoon Berner (239),AA110242X10L-AC6,
110245,LILBU,Bulb 12v 10w Autolamp (245),AA110245X10L-AC6,
110246,LILBU,Bulb 24v 21w Berner (241),AAA110246X10L-AC6,
110247,LILBU,Bulb 24v 10w Berner (246),AA110247X10L-AC6,
110247L,LILBU,Bulb 24v 10w Osram (246),,
110248,LILBU,Bulb 24v 5w Festoon Berner (242),AA110248X10L-AC6,
110249,LILBU,Bulb 24v 5w Autolamp (247),AAA110249X10L-AC6,
110250,LILBU,Bulb 24v 4w Berner (249),AAA110250X10L-AC6,
110251,LILBU,Bulb 24v 5w HD GE (248),AAA110251X10L-AC6,
110251L,LILBU,Bulb 24v 5w HD Osram (248),,
110256,LILBU,Bulb 12v 20w 50mm Dichroic,AA110256X10UDB3,
110260,LILBU,Bulb 12v 3w 7.5 x 36mm Festoon Berner (256),AA110260X10L-AC6,
110262,LILBU,Bulb 24v 5w 11 x 34mm Festoon Autolamp (260),AA110262X10L-AC6,
110267,LILBU,Bulb 24v 10w Festoon 11 x 38mm Autolamp (274),AA110267X10L-AC6,
110268,LILBU,Bulb 24v 10w Festoon 11 x 44mm GE (274),AA110268X10L-AC6,
110269,LILBU,NO276 24V 15W FESTOON 15/43MM AUTOBULB,AA110269X10L-AC7,
110278,LILBU,Bulb 24v 3w Berner (283),AA110278X10L-AC7,
110280,LILBU,Bulb 12v 1.2w Capless (286),AA110280X10L-AC7,
110282,LILBU,Bulb 24v 2w Autolamp (289),AA110282X10L-AC7,
110283,LILBU,Bulb 24v 21w GE (290),AAA110283X10L-AC7,
110283L,LILBU,Bulb 24v 21w Osram (290),,
110284,LILBU,Bulb 24v 21w GE (291),AAA110284X10L-AC7,
110287,LILBU,Bulb 24v 21/5w BAY15d GE,AA110287X10L-AC7,
110290,LILBU,Bulb 24v 24w Autolamp (333),AA110290X10L-AC7,
110294,LILBU,Bulb 24v 21/5w Autolamp (334),AA110294X10L-AC7,
110300,LILBU,Bulb 24v 24w Autolamp (339),AA110300X10L-AC7,
110306,LILBU,Bulb 12v 21w Amber Autolamp (343),AA110306X10L-AC7,
110314,LILBU,Bulb 24v 21w Autolamp (346),AAA110314X10L-AC7,
110318,LILBU,Bulb 12v 21/5w GE (380),AAA110318X10L-AC8,
110318L,LILBU,Bulb 12v 21/5w Osram (380),,
